Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
46992,2014-08-15,22:33:04.4,42.68 N,0.69 E,12,0.4,Ml,Val d'Aran,Local,ICGC,46992
46990,2014-08-15,18:37:34.1,42.08 N,1.83 E,10,0.3,Ml,Berguedà,Local,ICGC,46990
46989,2014-08-15,15:48:17.6,42.09 N,1.82 E,8,0.7,Ml,Berguedà,Local,ICGC,46989
46988,2014-08-15,15:42:39.0,42.10 N,1.83 E,11,0.5,Ml,Berguedà,Local,ICGC,46988
46982,2014-08-15,15:24:32.3,42.07 N,1.83 E,6,0.6,Ml,Berguedà,Local,ICGC,46982
46981,2014-08-15,13:01:05.2,40.75 N,1.31 E,27,1.4,Ml,Mar Mediterrània - Balears,Local,ICGC,46981
46987,2014-08-15,05:43:59.2,42.58 N,1.36 E,11,-0.3,Ml,Pallars Sobirà,Local,ICGC,46987
46986,2014-08-14,12:19:12.5,42.50 N,1.01 E,6,0.2,Ml,Pallars Jussà,Local,ICGC,46986
46963,2014-08-14,00:08:24.4,41.84 N,2.65 E,5,1.1,Ml,Selva,Local,ICGC,46963
46975,2014-08-13,23:29:50.1,41.83 N,2.65 E,16,0.0,Ml,Selva,Local,ICGC,46975
46974,2014-08-13,22:38:59.4,41.83 N,2.65 E,10,0.7,Ml,Selva,Local,ICGC,46974
46962,2014-08-13,21:32:58.4,41.84 N,2.65 E,5,1.8,Ml,Selva,Local,ICGC,46962
46973,2014-08-13,21:29:08.9,41.85 N,2.65 E,11,0.3,Ml,Selva,Local,ICGC,46973
46972,2014-08-13,21:00:46.9,41.83 N,2.65 E,10,0.7,Ml,Selva,Local,ICGC,46972
46976,2014-08-13,20:49:57.7,41.84 N,2.66 E,5,1.7,Ml,Selva,Local,ICGC,46976
46961,2014-08-13,20:49:53.9,41.84 N,2.66 E,7,1.4,Ml,Selva,Local,ICGC,46961
46971,2014-08-13,20:10:44.5,41.86 N,2.64 E,10,0.7,Ml,Selva,Local,ICGC,46971
46970,2014-08-13,19:59:21.4,41.84 N,2.65 E,4,0.7,Ml,Selva,Local,ICGC,46970
46969,2014-08-13,18:16:46.7,41.83 N,2.66 E,9,0.5,Ml,Selva,Local,ICGC,46969
46968,2014-08-13,17:21:24.0,41.82 N,2.66 E,11,0.2,Ml,Selva,Local,ICGC,46968
46967,2014-08-13,13:45:30.0,41.86 N,2.65 E,1,0.1,Ml,Selva,Local,ICGC,46967
46966,2014-08-13,07:33:50.4,41.83 N,2.65 E,11,0.6,Ml,Selva,Local,ICGC,46966
46960,2014-08-13,05:49:30.6,41.57 N,2.61 E,8,1.8,Ml,Costa Maresme,Local,ICGC,46960
46950,2014-08-11,21:43:45.0,42.98 N,0.22 E,7,1.1,Ml,Hautes-Pyrénées,Local,ICGC,46950
46945,2014-08-09,05:11:25.9,41.87 N,2.67 E,9,-0.0,Ml,Selva,Local,ICGC,46945
46944,2014-08-09,05:00:13.8,41.85 N,2.68 E,11,0.7,Ml,Selva,Local,ICGC,46944
46937,2014-08-07,23:31:49.1,42.31 N,1.43 E,8,-0.5,Ml,Alt Urgell,Local,ICGC,46937
46935,2014-08-07,13:29:24.0,42.29 N,1.88 E,4,-0.3,Ml,Berguedà,Local,ICGC,46935
46934,2014-08-07,06:28:57.4,42.40 N,1.79 E,15,-0.0,Ml,Cerdanya,Local,ICGC,46934
46933,2014-08-07,05:35:22.5,42.45 N,1.64 E,6,0.6,Ml,Cerdanya,Local,ICGC,46933
46921,2014-08-06,21:29:19.0,42.58 N,0.99 E,5,-0.5,Ml,Pallars Sobirà,Local,ICGC,46921
46918,2014-08-06,12:17:06.2,42.49 N,1.13 E,13,0.1,Ml,Pallars Sobirà,Local,ICGC,46918
46912,2014-08-05,13:02:17.5,42.27 N,1.29 E,11,0.6,Ml,Alt Urgell,Local,ICGC,46912
46911,2014-08-05,01:16:12.5,42.59 N,0.89 E,11,-0.2,Ml,Alta Ribagorça,Local,ICGC,46911
46887,2014-08-04,08:40:26.2,42.75 N,2.24 E,13,1.5,Ml,Aude,Local,ICGC,46887
46905,2014-08-04,02:13:15.8,42.52 N,1.70 E,1,0.2,Ml,Andorra,Local,ICGC,46905
46895,2014-08-03,21:16:30.6,42.52 N,0.79 E,4,-0.1,Ml,Alta Ribagorça,Local,ICGC,46895
46894,2014-08-03,21:03:56.3,42.46 N,1.69 E,10,-0.2,Ml,Cerdanya,Local,ICGC,46894
46893,2014-08-03,19:44:36.7,42.58 N,1.03 E,4,-0.6,Ml,Pallars Sobirà,Local,ICGC,46893
46881,2014-08-03,03:00:30.7,42.86 N,2.13 E,4,0.7,Ml,Aude,Local,ICGC,46881
46892,2014-08-03,02:58:16.1,42.83 N,2.11 E,6,0.4,Ml,Aude,Local,ICGC,46892
46891,2014-08-02,23:57:32.0,42.46 N,1.82 E,11,0.1,Ml,Cerdanya,Local,ICGC,46891
46877,2014-08-02,14:09:49.2,42.58 N,1.04 E,5,1.1,Ml,Pallars Sobirà,Local,ICGC,46877
46873,2014-07-31,09:28:42.8,42.67 N,2.53 E,10,0.4,Ml,Pyrénées-Orientales,Local,ICGC,46873
46872,2014-07-31,05:04:55.6,42.45 N,2.24 E,10,-0.0,Ml,Pyrénées-Orientales,Local,ICGC,46872
46871,2014-07-31,02:28:50.5,41.72 N,2.71 E,8,-0.1,Ml,Maresme,Local,ICGC,46871
46870,2014-07-31,01:48:25.6,42.42 N,1.03 E,3,0.2,Ml,Pallars Jussà,Local,ICGC,46870
46857,2014-07-29,22:35:03.2,42.69 N,2.07 E,10,0.6,Ml,Ariège,Local,ICGC,46857
46853,2014-07-29,18:07:16.6,41.86 N,2.94 E,10,1.4,Ml,Gironès,Local,ICGC,46853
46846,2014-07-28,14:28:05.7,42.73 N,0.83 E,5,0.2,Ml,Val d'Aran,Local,ICGC,46846
46845,2014-07-27,11:59:46.8,42.36 N,1.46 E,11,-0.5,Ml,Alt Urgell,Local,ICGC,46845
46844,2014-07-27,02:44:57.2,42.59 N,0.88 E,11,-0.3,Ml,Alta Ribagorça,Local,ICGC,46844
46838,2014-07-27,00:39:33.1,42.85 N,2.12 E,6,0.8,Ml,Aude,Local,ICGC,46838
46843,2014-07-26,17:30:05.6,41.05 N,1.83 E,5,1.6,Ml,Costa Garraf,Local,ICGC,46843
46833,2014-07-24,21:13:05.6,42.31 N,1.43 E,10,-0.5,Ml,Alt Urgell,Local,ICGC,46833
46832,2014-07-24,19:55:57.5,42.80 N,1.93 E,6,0.4,Ml,Aude,Local,ICGC,46832
46830,2014-07-24,18:18:39.0,42.42 N,2.32 E,4,0.7,Ml,Ripollès,Local,ICGC,46830
46827,2014-07-24,07:43:41.9,42.52 N,2.05 E,12,0.6,Ml,Pyrénées-Orientales,Local,ICGC,46827
46826,2014-07-23,20:33:46.2,42.59 N,0.72 E,10,0.1,Ml,Huesca,Local,ICGC,46826
46822,2014-07-22,19:29:37.3,42.34 N,2.29 E,17,0.2,Ml,Ripollès,Local,ICGC,46822
46819,2014-07-22,00:20:33.6,42.14 N,1.60 E,0,1.0,Ml,Solsonès,Local,ICGC,46819
